customer_city,seller_city,delivery_performance
rio de janeiro,rio de janeiro,0 days 12:48:07.000000000
sao paulo,salto,0 days 18:45:10.000000000
guaruja,sao paulo,0 days 20:31:39.000000000
porto seguro,ibitinga,0 days 20:43:20.000000000
sao paulo,uberaba,0 days 21:22:41.000000000
santo andre,carapicuiba,0 days 21:25:11.000000000
sao paulo,santa barbara d'oeste,0 days 22:27:49.000000000
diadema,sao paulo,0 days 22:30:59.000000000
campinas,sao paulo,0 days 23:37:30.000000000
sao paulo,osasco,0 days 23:39:18.000000000
sao paulo,itapecerica da serra,0 days 23:43:45.000000000
sao paulo,sao paulo,0 days 23:55:32.000000000
sao paulo,jacarei,0 days 23:57:40.000000000
sao jose dos campos,sao paulo,1 days 00:16:26.000000000
guarulhos,sao paulo,1 days 00:32:04.000000000
sao paulo,campinas,1 days 00:39:19.000000000
sao vicente,sorocaba,1 days 00:41:36.000000000
suzano,mogi guacu,1 days 00:43:08.000000000
sao paulo,santos,1 days 00:43:56.000000000
sao paulo,jundiai,1 days 00:54:59.000000000
barueri,sao paulo,1 days 00:57:16.000000000
jundiai,sao paulo,1 days 00:57:53.000000000
pindamonhangaba,sao paulo,1 days 01:01:56.000000000
poa,salto,1 days 01:06:12.000000000
piracicaba,sao paulo,1 days 01:09:10.000000000
rio claro,sao paulo,1 days 01:09:42.000000000
belo horizonte,belo horizonte,1 days 01:17:37.000000000
contagem,belo horizonte,1 days 01:20:17.000000000
limeira,sao paulo,1 days 01:22:59.000000000
sao jose do rio preto,sao jose do rio preto,1 days 01:29:10.000000000
americana,sao paulo,1 days 01:31:21.000000000
itapira,limeira,1 days 01:33:13.000000000
sao caetano do sul,santos,1 days 01:40:04.000000000
aguas da prata,presidente prudente,1 days 01:43:56.000000000
sao caetano do sul,sao paulo,1 days 01:44:59.000000000
porto alegre,porto alegre,1 days 01:46:11.000000000
sao paulo,ibitinga,1 days 01:54:36.000000000
santana de parnaiba,atibaia,1 days 01:56:28.000000000
sao jose dos campos,campinas,1 days 01:57:22.000000000
curitiba,curitiba,1 days 02:06:32.000000000
sao paulo,poa,1 days 02:08:03.000000000
rio de janeiro,petropolis,1 days 02:10:10.000000000
cotia,santa barbara d'oeste,1 days 02:11:25.000000000
jandira,sao paulo,1 days 02:20:44.000000000
sorocaba,pirituba,1 days 02:30:05.000000000
paracatu,belo horizonte,1 days 02:34:03.000000000
paulinia,osasco,1 days 02:38:51.000000000
campinas,jacarei,1 days 02:39:35.000000000
nova iguacu,petropolis,1 days 02:39:47.000000000
teresopolis,teresopolis,1 days 02:46:35.000000000
cascavel,cascavel,1 days 02:48:40.000000000
sao bernardo do campo,sao paulo,1 days 02:55:57.000000000
sao caetano do sul,piracicaba,1 days 02:59:12.000000000
barueri,praia grande,1 days 03:01:22.000000000
campinas,piracicaba,1 days 03:01:38.000000000
sao paulo,atibaia,1 days 03:10:46.000000000
fernandopolis,pedreira,1 days 03:28:44.000000000
guaira,salto,1 days 03:28:49.000000000
santana de parnaiba,sao paulo,1 days 03:30:30.000000000
belo horizonte,juiz de fora,1 days 03:33:37.000000000
sao bernardo do campo,santa barbara d'oeste,1 days 03:36:01.000000000
sao bernardo do campo,jaguaruna,1 days 03:36:01.000000000
coronel fabriciano,belo horizonte,1 days 03:42:02.000000000
sao paulo,sao caetano do sul,1 days 03:43:58.000000000
caieiras,sao paulo,1 days 03:44:38.000000000
hortolandia,sao paulo,1 days 03:49:17.000000000
sao paulo,santo andre,1 days 03:54:28.000000000
cotia,sao paulo,1 days 03:55:43.000000000
valinhos,ferraz de vasconcelos,1 days 04:02:30.000000000
sao paulo,praia grande,1 days 04:22:16.000000000
cotia,santos,1 days 04:23:51.000000000
jundiai,sorocaba,1 days 04:43:39.000000000
sao paulo,cajamar,1 days 04:52:49.000000000
guarulhos,campinas,1 days 04:59:09.000000000
osasco,praia grande,1 days 05:09:53.000000000
mogi das cruzes,barueri,1 days 05:10:42.000000000
osasco,sao paulo,1 days 05:13:41.000000000
sao paulo,carapicuiba,1 days 05:24:36.000000000
sao paulo,ribeirao pires,1 days 05:24:55.000000000
taboao da serra,sao paulo,1 days 05:39:02.000000000
sao paulo,barueri,1 days 05:40:21.000000000
sao paulo,guarulhos,1 days 05:47:38.000000000
sao paulo,piracicaba,1 days 05:48:55.000000000
belo horizonte,betim,1 days 05:49:26.000000000
santo andre,osasco,1 days 05:55:04.000000000
sao paulo,sao bernardo do campo,1 days 05:59:15.000000000
sao bernardo do campo,santo andre,1 days 06:03:11.000000000
santana de parnaiba,mogi mirim,1 days 06:08:12.000000000
goiania,goiania,1 days 06:14:34.000000000
sao jose dos campos,monte siao,1 days 06:16:18.000000000
belo horizonte,divinopolis,1 days 06:16:59.000000000
salto,campinas,1 days 06:22:23.000000000
brasilia,brasilia,1 days 06:24:01.000000000
guarulhos,araras,1 days 06:25:32.000000000
osasco,salto,1 days 06:28:49.000000000
sao caetano do sul,campinas,1 days 06:42:39.000000000
sao jose dos campos,guarulhos,1 days 06:43:52.000000000
guarulhos,cotia,1 days 06:44:55.000000000
mogi das cruzes,limeira,1 days 06:48:14.000000000
paulinia,praia grande,1 days 06:50:20.000000000
itatiba,sao paulo,1 days 06:54:29.000000000
praia grande,sao paulo,1 days 06:55:12.000000000
santa barbara d'oeste,sao paulo,1 days 06:57:41.000000000
osasco,guarulhos,1 days 07:04:43.000000000
campinas,sao roque,1 days 07:06:29.000000000
itapevi,sao paulo,1 days 07:08:05.000000000
valparaiso de goias,brasilia,1 days 07:09:46.000000000
sumare,sao paulo,1 days 07:14:31.000000000
rio grande da serra,sao paulo,1 days 07:20:14.000000000
aruja,sorocaba,1 days 07:23:27.000000000
hortolandia,santo andre/sao paulo,1 days 07:27:50.000000000
limeira,atibaia,1 days 07:43:19.000000000
guarulhos,piracicaba,1 days 07:44:45.000000000
rio claro,diadema,1 days 07:45:39.000000000
santo andre,sao bernardo do campo,1 days 07:46:15.000000000
nova iguacu,rio de janeiro,1 days 07:48:01.000000000
sao paulo,itatiba,1 days 07:48:14.000000000
itaquaquecetuba,atibaia,1 days 07:48:16.000000000
barueri,guarulhos,1 days 07:50:42.000000000
poa,cotia,1 days 07:56:14.000000000
espirito santo do pinhal,salto,1 days 08:01:06.000000000
sao paulo,sao paulo - sp,1 days 08:02:06.000000000
divinopolis,belo horizonte,1 days 08:03:50.000000000
sao paulo,pedreira,1 days 08:06:19.000000000
diadema,atibaia,1 days 08:07:39.000000000
sao paulo,sorocaba,1 days 08:09:49.000000000
itapira,itatiba,1 days 08:14:21.000000000
guaiba,caxias do sul,1 days 08:14:34.000000000
sao paulo,ferraz de vasconcelos,1 days 08:17:12.000000000
santos,sao paulo,1 days 08:19:39.000000000
braganca paulista,campinas,1 days 08:20:36.000000000
matozinhos,belo horizonte,1 days 08:25:04.000000000
santos,mogi guacu,1 days 08:27:45.000000000
ribeirao preto,sao paulo,1 days 08:30:15.000000000
sao bernardo do campo,piracicaba,1 days 08:43:48.000000000
guarulhos,carapicuiba,1 days 08:45:04.000000000
jaguariuna,sao paulo,1 days 08:45:56.000000000
indaiatuba,praia grande,1 days 08:46:32.000000000
votorantim,sorocaba,1 days 08:48:24.000000000
vinhedo,sao paulo,1 days 08:49:31.000000000
guarulhos,pedreira,1 days 08:50:39.000000000
santos,indaiatuba,1 days 08:51:25.000000000
santos,limeira,1 days 08:51:25.000000000
poa,sao paulo,1 days 08:52:22.000000000
santo andre,sao paulo,1 days 08:54:39.000000000
sao paulo,sbc/sp,1 days 08:57:04.000000000
americana,limeira,1 days 08:58:07.000000000
santos,sao bernardo do campo,1 days 09:09:41.000000000
niteroi,petropolis,1 days 09:11:55.000000000
maua,sao paulo,1 days 09:12:42.000000000
carapicuiba,salto,1 days 09:13:34.000000000
sorocaba,sorocaba,1 days 09:14:47.000000000
sabara,belo horizonte,1 days 09:16:22.000000000
campinas,campinas,1 days 09:18:37.000000000
sao paulo,uberlandia,1 days 09:19:22.000000000
