ds,y
2016-10-03 09:44:50,104.56
2016-10-03 16:56:50,89.91
2016-10-03 21:13:36,123.58
2016-10-03 22:06:03,306.96
2016-10-03 22:31:31,94.19
2016-10-03 22:44:10,355.51
2016-10-03 22:51:30,212.22
2016-10-04 09:06:10,150.65
2016-10-04 09:16:33,101.73
2016-10-04 09:59:03,263.97
2016-10-04 10:16:04,546.14
2016-10-04 10:41:17,494.45
2016-10-04 11:03:14,409.65
2016-10-04 12:06:11,733.7
2016-10-04 12:53:17,42.83
2016-10-04 13:11:29,233.31
2016-10-04 13:15:46,615.23
2016-10-04 13:15:52,333.36
2016-10-04 13:16:57,407.74
2016-10-04 13:22:56,1.7
2016-10-04 13:22:56,12.14
2016-10-04 13:22:56,20.75
2016-10-04 13:22:56,24.29
2016-10-04 13:22:56,27.58
2016-10-04 13:22:56,34.73
2016-10-04 13:22:56,78.64
2016-10-04 13:30:13,274.69
2016-10-04 13:40:43,247.04
2016-10-04 13:45:08,915.68
2016-10-04 14:13:22,256.47
2016-10-04 14:23:50,143.36
2016-10-04 14:44:33,615.23
2016-10-04 14:49:13,607.04
2016-10-04 15:02:53,343.94
2016-10-04 15:07:21,638.96
2016-10-04 15:10:15,271.08
2016-10-04 15:12:18,201.41
2016-10-04 15:35:35,354.87
2016-10-04 15:44:44,278.6
2016-10-04 16:02:18,278.32
2016-10-04 16:05:29,141.77
2016-10-04 16:08:52,171.95
2016-10-04 16:40:07,171.95
2016-10-04 16:41:59,375.36
2016-10-04 17:08:39,151.27
2016-10-04 17:25:09,171.7
2016-10-04 17:25:09,199.16
2016-10-04 18:02:37,398.82
2016-10-04 18:07:24,267.19
2016-10-04 18:52:56,265.01
2016-10-04 19:01:13,166.77
2016-10-04 19:25:29,2253.79
2016-10-04 19:30:28,93.82
2016-10-04 19:41:52,2259.54
2016-10-04 20:41:55,389.23
2016-10-04 21:25:32,499.79
2016-10-04 21:32:35,205.57
2016-10-04 21:35:54,1029.23
2016-10-04 21:54:52,190.19
2016-10-04 22:03:46,343.76
2016-10-04 22:15:11,150.56
2016-10-04 22:33:44,250.33
2016-10-04 22:43:33,79.17
2016-10-04 23:08:08,778.46
2016-10-04 23:26:51,153.36
2016-10-04 23:39:01,451.42
2016-10-04 23:45:54,139.38
2016-10-04 23:59:01,881.45
2016-10-05 00:32:31,82.48
2016-10-05 07:31:49,219.83
2016-10-05 08:01:47,134.34
2016-10-05 08:04:21,46
2016-10-05 08:04:21,46
2016-10-05 08:04:21,71.78
2016-10-05 08:41:18,310.04
2016-10-05 08:46:55,260.29
2016-10-05 09:19:46,104.63
2016-10-05 09:46:43,1527.04
2016-10-05 11:01:40,622.73
2016-10-05 11:05:52,265.01
2016-10-05 11:08:46,371.8
2016-10-05 11:44:41,56.4
2016-10-05 12:32:55,24.15
2016-10-05 12:32:55,139.61
2016-10-05 12:34:04,629.67
2016-10-05 12:41:38,1437.96
2016-10-05 12:44:09,425.2
2016-10-05 13:12:43,250.33
2016-10-05 14:40:44,788.19
2016-10-05 14:49:49,93.98
2016-10-05 15:08:00,725.05
2016-10-05 15:17:57,1881.68
